跛 lame
擘 thumb
柏 cypress
檗 Phyllodendron
簸 dust
薄 thin
譒 promulgate
卜 turnip
蔔 turnip
晡 35
逋 flee
餔 evening
醭 mold
卜 to
哺 feed
捕 to
補 to
不 prefix)
佈 diffuse
埠 a
布 to
怖 terror
捗 make
步 a
篰 sievelike
簿 a
蔀 cycle
部 ministry
鈽 plutonium
擦 to
猜 to
才 ability
材 material
纔 just
裁 dress)
財 money
彩 color
採 to
睬 pay
綵 colored
跴 capture
踩 step
采 affairs
埰 allotment
寀 feudal
菜 food)
蔡 surname
采 allotment
參 take
餐 eat
驂 outside
慚 ashamed
殘 destroy
蚕 silkworm
蠶 silkworm
慘 miserable
憯 already
朁 supposing
黲 grey
孱 dodger
燦 glorious
璨 gem
粲 beautiful
倉 barn
傖 low
凔 cold
滄 blue
艙 cabin
蒼 dark
鶬 oriole
藏 hide
操 to
糙 rough
嘈 bustling
曹 a
槽 manger
漕 transport
艚 seagoing
螬 Mimela
懆 anxious
艸 grass
草 grass
肏 copulate
側 the
冊 book
廁 restroom
惻 sorrowful
測 side
畟 sharp
策 method
筴 policy
茦 pointed
嵾 uneven
岑 small
涔 overflow
噌 to
層 measure
嶒 lofty
曾 previously)
蹭 rub
鄫 feudal
蹭 rub
叉 fork
喳 twitter
差 difference
扠 to
插 insert
杈 fork
臿 separate
艖 raft
叉 to
垞 place
察 examine
搽 powder)
查 to
楂 fell
槎 bamboo
碴 fault
茬 stumps
茶 tea
叉 to
衩 open
侘 boast
剎 monastery
岔 branch
差 differ
杈 branches
汊 branching
衩 either
詫 surprised
差 send
拆 tear
釵 hairpin
儕 a
柴 surname
豺 ravenous
瘥 recover
蠆 scorpion
幨 curtain
摻 mix
攙 assist
梴 length
襜 front
辿 follow
僝 to
劖 bore
單 chieftain
嚵 gluttonous
嬋 beautiful
孱 coward
巉 cliff
廛 market
欃 Santalum
毚 cunning
潺 flow
澶 water)
瀍 name
瀺 sound
磛 cliff
禪 meditation
纏 to
艬 large
蟬 cicada
蟾 moon
讒 slander
躔 course
鑱 instrument
饞 gluttonous
丳 skewer
剷 level
囅 smilingly
嵼 mountain
燀 make
產 to
蕆 complete
諂 flatter
鏟 spade
闡 to
驏 without
儳 irregular
懺 feel
羼 confusion
倀 groping
娼 prostitute
昌 prosperous
猖 mad
菖 calamus
錩 metal
閶 gate
鯧 type
鼚 sound
償 to
嘗 indicator
嚐 to
嫦 legendary
常 always
徜 sit
腸 intestines
萇 carambola
裳 lower
長 length
鱨 fish
場 a
廠 cliff
惝 disappointed
敞 spacious
昶 bright
氅 overcoat
鋹 sharp
倡 initiate
唱 sing
悵 regretful
暢 smooth
韔 bow
鬯 sacrificial
剿 destroy
勦 destroy
弨 unbent
抄 to
綽 scalding
訬 clamor
超 to
鈔 money
嘲 ridicule
巢 nest
晁 surname
朝 to
潮 tide
吵 to
炒 saute
硨 Tridacna
車 car
扯 pull
撦 to
坼 to
屮 plants
徹 pervade
掣 pull
撤 remove
澈 clear
轍 to
嗔 angry
抻 pull
搷 to
琛 precious
瞋 angry
賝 gem
郴 district
塵 dust
宸 imperial
忱 sincerity
晨 morning
沈 sink
沉 submerge
煁 brazier
臣 statesman
茞 fragrant
蔯 variety
諶 surname
辰 earthly
陳 arrange
磣 gritty
儭 to
櫬 Sterculia
疢 disease
稱 balanced
襯 give
讖 prophecy
趁 oneself
齔 replace
偁 to
噌 sound
撐 support
橕 a
檉 tamarisk
琤 tinkling
瞠 something
稱 to
蟶 mussel
赬 deep
鐺 frying
丞 deputy
乘 ride
呈 assume
城 city
埕 earthen
塍 between
宬 library
懲 punish
成 finish
承 to
棖 door
橙 orange
澂 clear
澄 clear
盛 to
程 rule
裎 take
誠 honest
郕 feudal
酲 alcoholic
鋮 persons
悜 obscure
秤 steel
逞 please
騁 hasten
秤 steelyard
稱 steelyard
吃 eat
喫 eat
嗤 laugh
媸 ugly
摛 spread
瓻 large
痴 imbecile
癡 imbecile
眵 secretion
笞 bamboo
絺 fibers
蚩 surname
螭 hornless
郗 surname
魑 mountain
鴟 scops
匙 spoon
坻 islet
墀 courtyard
弛 unstring
彽 and
持 to
池 pond
箎 bamboo
篪 bamboo
茌 district
蚳 ant
踟 hesitating
遲 late
馳 run
侈 extravagant
呎 foot
尺 Chinese
恥 shame
扡 drag
欼 drink
褫 strip
誃 to
豉 fermented
齒 tooth
乿 cure
傺 detain
叱 to
啻 just
彳 step
抶 beat
敕 imperial
斥 blame
熾 flame
翅 wing
赤 red
跮 hasty
踅 walk
飭 keep
饎 food
鶒 water
充 fill
忡 grieved
憃 foolish
憧 irresolute
沖 to
翀 soar
舂 pound
衝 dash
崇 high
虫 insect
蟲 an
重 to
寵 to
揰 poke
沖 strong
衝 great
銃 a
抽 draw
搊 instrument)
犨 panting
瘳 convalesce
篘 basket
仇 hatred
儔 comrades
幬 canopy
惆 forlorn
愁 worry
懤 grieved
疇 arable
稠 dense
籌 a
紬 silk
綢 silk
裯 bed
讎 enmity
躊 pace
酬 entertain
鯈 Leuciscus
丑 Earthly
偢 stare
杻 handcuffs
瞅 to
醜 shameful
臭 stench
出 to
初 at
樗 simarubaceae
齣 for
廚 kitchen
櫥 a
滁 name
篨 bamboo
耡 hoe
芻 surname
蒢 hedysarum
蜍 Bufo
躇 hesitate
躕 irresolute
鉏 hoe
鋤 a
除 remove
雛 chick
鶵 chick
儲 savings
杵 pestle
楚 surname
楮 Broussonetia
礎 foundation
處 to
褚 surname
亍 right
俶 begin
儊 rough
怵 fearful
搐 lead
歜 person
畜 livestock
矗 lofty
絀 crimson
處 a
觸 knock
豖 shackled
鄐 surname
黜 dismiss
欻 onomat
揣 put
膗 ugly
揣 estimate
嘬 to
踹 kick
川 river
氚 tritium
穿 bore
傳 pass
椽 beam
船 a
遄 hurry
喘 to
舛 mistaken
荈 Thea
串 string
玔 jade
釧 an
創 a
瘡 sore
窗 shutter
幢 houses)
床 bed
闖 to
刱 establish
創 begin
愴 mournful
吹 to
炊 dress
圌 name
垂 hang
捶 beat
搥 beat
棰 flog
椎 a
槌 hammer
箠 flog
錘 to
鎚 a
陲 frontier
春 spring
杶 tree
椿 Cedrela
輴 hearse
鰆 Scomberomorus
唇 lip
椿 tree
淳 genuine
漘 shore
純 pure
脣 lip
蓴 Brasenia
醇 rich
錞 copper
鯙 Scomberomorus
鶉 quail
惷 blunt
蠢 blunt
戳 poke
踔 get
啜 drink
婥 weak
婼 recalcitrant
惙 mournful
擉 to
歠 sip
畷 between
綽 generous
輟 stop
逴 apparent
醊 libation
齪 dirty
偨 uneven
差 uneven
疵 blemish
骴 putrid
慈 compassionate
瓷 chinaware
磁 magnetic
祠 ancestral
茈 water
茨 Tribulus
詞 works
辭 bid
雌 female
餈 fried
佌 petty
此 this
泚 clear
玼 clear
跐 trample
伺 wait
佽 surname
刺 thorn
朿 stab
次 nth
莿 Urtica
蛓 larva
賜 confer
匆 hurried
囪 window
從 lax
樅 abies
瑽 tinkling
璁 gem
聰 quick
蓯 Boschniakia
蔥 scallion
鍐 headstall
鏦 spear
驄 buckskin
叢 cluster
從 from
悰 joy
淙 noise
漎 streams
潀 gather
琮 surname
賨 tribute
湊 assemble
腠 between
輳 converge
粗 coarse
觕 coarse
麤 coarse
徂 to
殂 die
促 to
卒 abruptly
猝 abrupt
瘯 disease)
簇 crowded
蔟 collect
踤 butt
踧 carefully
蹙 urgent
蹴 carefully
醋 vinegar
攛 rush
汆 short
躥 jump
鋑 engrave
攢 bring
爨 surname
竄 flee
篡 to
催 urge
崔 surname
摧 break
榱 small
磪 high
縗 mourning
衰 mourning
漼 appearance
璀 luster
趡 place
倅 deputy
啐 sip
悴 haggard
毳 animal
淬 into
焠 temper
瘁 careworn
竁 dig
粹 pure
翠 bluishgreen
脆 brittle
膵 pancreas
萃 collect
村 village
皴 chapped
存 exist
忖 ponder
吋 inch
寸 unit
搓 between
撮 bring
磋 deliberate
蹉 error
嵯 mountain)
痤 acne
瘥 disease
矬 short
醝 white
鹺 brine
瑳 luster
脞 chopped
剉 to
厝 bury
挫 be
措 put
莝 straw
蓌 salutation)
銼 shaping
錯 mistake
齰 to
咑 animals
噠 phonetic
搭 build
答 to
耷 hanging
褡 cummerbund
妲 concubine
怛 distressed
打 dozen
瘩 sore
笪 surname
答 reply
繨 rope)
荅 to
薘 plantago
褟 inner
達 attain
靼 phonetic
韃 Tartar
打 beat
大 big
呆 foolish
待 stay
獃 stay
傣 minority
歹 bad
逮 arrest
代 substitute
埭 dam
大 doctor
岱 mountain
帶 band
待 wait
怠 idle
戴 put
殆 dangerous
玳 tortoise
紿 bind
艜 narrow
袋 a
襶 untidy
貸 lend
迨 catch
逮 catch
靆 cloudy
黛 umberblack
丹 red
儋 carry
勯 exhausted
單 bill
擔 to
殫 entirely
甔 big
癉 disease
眈 gaze
砃 white
簞 basket
耽 indulge
聃 without
襌 garment
鄲 district
酖 addicted
亶 surname
撢 to
撣 brush
疸 jaundice
紞 fringe
膽 the
賧 fine
但 but
僤 great
啖 eat
啗 eat
噉 eat
彈 crossball
憚 dread
憺 peace
擔 picul
旦 dawn
氮 nitrogen
淡 insipid
澹 tranquil
癉 to
石 10
窞 pit
萏 lotus
蛋 egg
蜑 ethnic
誕 birth
霮 denseness
髧 long
鴠 kind
儅 stop
噹 bell)
璫 pendant
當 to
簹 bamboo
蟷 mantis
襠 crotch
鐺 clank
党 party
擋 hinder
攩 hinder
讜 advice
黨 party
宕 dissipated
愓 profligate
擋 arrange
檔 crosspiece
當 very
盪 agitate
碭 stone
簜 bamboo
菪 henbane
蕩 a
刀 knife
叨 grumble
忉 grieved
氘 deuterium
舠 kayak
魛 the
倒 to
壔 column
導 to
島 island
搗 pound
擣 stir
禂 to
禱 prayer
蹈 tread
倒 upset
到 place)
幬 canopy
悼 mourn
燾 cover
盜 steal
稻 paddy
纛 big
翿 feather
道 direction
得 obtain
德 Germany
地 adverbial)
底 part.)
得 sentence
的 descriptive
得 have
燈 lamp
登 scale
簦 umbrella
豋 ceremonial
戥 steelyard
等 class
凳 bench
嶝 leading
澄 settle
瞪 stare
磴 cliffledge
蹬 tight
鄧 Deng
鐙 stirrup
低 lower
堤 dike
提 carry
氐 ancient
滴 a
羝 billy
鍉 spoon
鏑 dysprosium
隄 dike
鞮 surname
嘀 backbite
嫡 first
敵 enemy
滌 wash
狄 surname
的 really
笛 flute
篴 flute
糴 buy
翟 longtail
荻 Anaphalis
蔋 dry
覿 face
蹢 hoof
迪 direct
靮 reins
呧 vex
坻 place
底 background
弤 carved
抵 hold
柢 foundation
氐 foundation
牴 to
砥 baffle
菧 stibene
觝 to
詆 defame
邸 surname
地 earth
娣 younger
帝 emperor
弟 younger
杕 lonestanding
梊 squeeze
棣 Kerria
渧 drop
玓 pearly
珶 white
甋 without
的 aim
睇 look
碲 tellurium
禘 ancestral
第 ordering
締 closely
蒂 fruit)
蔕 fruit)
蝃 rainbow
螮 rainbow
諦 examine
踶 kick
遞 hand
遰 go
釱 fetters
傎 inversion
巔 summit
掂 weigh
敁 weigh
滇 Yunnan
瘨 convulsions
癲 convulsions
顛 inverted
典 canon
琠 used
碘 iodine
踮 tip
點 character
佃 farmer
坫 stand
墊 pad
奠 libation
店 inn
惦 remember
殿 palace
淀 shallow
澱 sediment
玷 blemish
甸 imperial
痁 malarial
癜 erythema
磹 stone
簟 woven
鈿 inlaid
阽 dangerous
電 electric
靛 indigo
凋 withered
刁 artful
叼 mouth
彫 engrave
琱 engrave
碉 Tibetan
蛁 Pomponia
貂 sable
雕 engrave
鯛 pagrus
鵰 golden
屌 penis
吊 hang
弔 condole
掉 to
窵 deep
蓧 bamboo
藋 Sambucu
調 mode
釣 fish
銚 with
爹 dad
跌 to
咥 gnaw
喋 flowing
垤 anthill
堞 battlements
昳 declining
楪 small
牒 document
瓞 young
疊 fold
眣 prominent
碟 dish
絰 hempen
蜨 butterfly
蝶 butterfly
諜 to
跕 shuffle
蹀 tread
迭 alternately
鰈 flatfish
耋 aged
丁 surname
仃 alone
叮 mosquito)
玎 jingling
疔 boil
盯 stare
釘 nail
靪 cobble
酊 intoxicated
頂 go
鼎 tripod
啶 ine
定 to
椗 plant
碇 anchor
訂 to
鋌 ingot
錠 ingot
飣 display
丟 to
銩 thulium
冬 winter
咚 drum)
崠 Guangxi
東 east
氡 radon
涷 rainstorm
苳 Petasites
蝀 rainbow
鶇 thrush
鼕 drum)
懂 to
董 surname
侗 group)
凍 to
動 to
恫 frighten
棟 roof
洞 cave
胴 large
兜 pocket
都 all
抖 shake
斗 Chinese
枓 Chinese
蚪 tadpole
陡 steep
斗 to
痘 small
竇 surname
脰 neck
荳 bean
讀 comma
豆 bean
逗 stay
餖 set
鬥 fight
嘟 toot
督 supervise
都 surname
闍 tower
櫝 cabinet
殰 an
毒 poison
瀆 ditch
牘 documents
犢 calf
獨 alone
碡 stone
讀 to
讟 to
韣 bow
髑 skull
黷 blacken
堵 stop
睹 observe
篤 serious
肚 tripe
賭 bet
喥 place
妒 jealous
度 capacity
杜 surname
渡 to
肚 belly
蠹 bookworm
鍍 plated
端 end
短 lack
斷 absolutely
椴 Hibiscus
段 surname
毈 infertile
碫 whetstone)
籪 bamboo
緞 satin
腶 dried
鍛 forge
堆 a
兌 to
對 couple
憝 dislike
懟 dislike
碓 pestle
譈 dislike
隊 squadron
噸 ton
墩 block
惇 kindhearted
敦 kindhearted
礅 stone
蹲 crouch
鐓 upsetting
盹 doze
躉 wholesale
噸 ton
囤 bin
庉 a
扽 move
沌 confused
炖 stew
燉 stew
盾 shield
遁 disappear
遯 disappear
鈍 blunt
頓 a
剟 to
咄 noise
哆 quiver
多 many
奪 rob
掇 pick
敪 to
踱 stroll
鐸 ancient
嚲 hang
垛 battlement
埵 solid
朵 for
躲 avoid
剁 chop
垛 pile
墮 degenerate
嶞 mountain
惰 lazy
柮 wood
舵 helm
跺 stamp
馱 carry
婀 graceful
屙 defecate
痾 malady
阿 flatter
俄 suddenly
吪 move
哦 to
囮 decoy
娥 good
峨 lofty
莪 zedoary
